"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-123.889088538266 37.8962705655722 1049.0439571233 3.32836819271324 3.69614171109076e-05 2
-116.048548779753 34.0222945956048 1049.92178717069 0.0785837407805957 0.0061202341847865 2
-120.590009507211 34.3601160565158 1053.44917163346 3.45070527631324 0.00264610094080151 2
-122.646795156249 41.8814250337891 1054.42091579596 1.15215995335020 0.000154805905333127 2
-124.798573222943 41.9840506879846 1055.9170050791 0.766451318759937 0.000756028839671484 2
-124.840307896072 41.6766364948126 1056.30800187355 4.63922685349826 0.00108004119895976 2
-122.146684860648 41.1504122213228 1056.42774478695 4.14784167482285 0.00176406729177012 2
-124.979432717571 39.6702595960815 1061.38743674941 2.08874819471966 7.44028382088776e-05 2
-114.688554650266 36.1158162661595 1067.94939179812 4.49664829128888 0.00195007438846605 2
-120.839502146957 38.4894500973169 1074.87988717528 4.82060100476956 0.000161406157171833 2
-120.619614483789 40.8533574355533 1077.08363352646 2.61982479941798 0.00050581936681317 2
-122.307036880217 36.6259655298200 1079.4266083627 0.102268718008418 0.000264010070879563 2
